TIME,STRATEGY NAME,TRADE NO,STOCK,PRICE,QUANTITY,TYPE,SL,TARGET,STATUS,EXIT PRICE,PL
09:15:01,SECONDARY GAP UP OPEN HIGH SHORT,1,HDFCBANK,837.00,1,sell,853.80,820.35,AUTO SQUARED OFF,847.95,-10.95,1344
09:15:02,SECONDARY GAP DOWN OPEN LOW LONG,2,SUNPHARMA,438.75,3,buy,436.55,447.50,TARGET TRIGGERED,447.50,26.25,1345
09:15:02,SECONDARY GAP UP OPEN HIGH SHORT,3,LT,800.95,1,sell,817.05,785.00,STOPLOSS TRIGGERED,817.05,-16.10,1346
09:15:03,SECONDARY GAP DOWN OPEN LOW LONG,4,INDUSINDBK,365.95,1,buy,364.05,373.20,STOPLOSS TRIGGERED,364.05,-1.90,1347
09:15:03,SECONDARY GAP UP OPEN HIGH SHORT,5,BHARTIARTL,605.85,5,sell,618.05,593.80,TARGET TRIGGERED,593.80,60.25,1348
09:15:03,SECONDARY GAP DOWN OPEN LOW LONG,6,AXISBANK,352.80,3,buy,351.00,359.85,STOPLOSS TRIGGERED,351.00,-5.40,1349
09:15:04,SECONDARY GAP UP OPEN HIGH SHORT,7,ITC,171.25,6,sell,174.75,167.90,STOPLOSS TRIGGERED,174.75,-21.00,1350
09:15:07,SECONDARY GAP DOWN OPEN LOW LONG,8,INDUSINDBK,362.55,1,buy,360.70,369.75,STOPLOSS TRIGGERED,360.70,-1.85,1352
09:15:07,SECONDARY GAP DOWN OPEN LOW LONG,9,ICICIBANK,299.45,3,buy,297.90,305.35,TARGET TRIGGERED,305.35,17.70,1353
09:15:08,SECONDARY GAP DOWN OPEN LOW LONG,10,ICICIBANK,299.45,3,buy,297.90,305.35,TARGET TRIGGERED,305.35,17.70,1354
09:15:08,SECONDARY GAP DOWN OPEN LOW LONG,11,BANDHANBNK,213.95,3,buy,212.85,218.20,STOPLOSS TRIGGERED,212.85,-3.30,1355
09:15:12,SECONDARY GAP DOWN OPEN LOW LONG,12,INDUSINDBK,359.10,1,buy,357.30,366.25,TARGET TRIGGERED,366.25,7.15,1359
09:15:15,SECONDARY GAP DOWN OPEN LOW LONG,13,BANDHANBNK,213.05,3,buy,211.95,217.30,TARGET TRIGGERED,217.30,12.75,1361
09:15:15,SECONDARY GAP DOWN OPEN LOW LONG,14,INFRATEL,212.15,5,buy,211.05,216.35,TARGET TRIGGERED,216.35,21.00,1363
09:15:17,SECONDARY GAP DOWN OPEN LOW LONG,15,AXISBANK,351.45,3,buy,349.60,358.40,TARGET TRIGGERED,358.40,20.85,
09:15:19,SECONDARY GAP DOWN OPEN LOW LONG,16,AXISBANK,350.75,3,buy,348.95,357.75,TARGET TRIGGERED,357.75,21.00,
09:15:20,SECONDARY GAP DOWN OPEN LOW LONG,17,INFRATEL,212.15,5,buy,211.05,216.35,TARGET TRIGGERED,216.35,21.00,
09:15:20,SECONDARY GAP DOWN OPEN LOW LONG,18,IBULHSGFIN,119.85,2,buy,119.25,122.20,TARGET TRIGGERED,122.20,4.70,
09:15:20,SECONDARY GAP DOWN OPEN LOW LONG,19,IBULHSGFIN,119.85,2,buy,119.25,122.20,TARGET TRIGGERED,122.20,4.70,
09:15:20,SECONDARY GAP DOWN OPEN LOW LONG,20,BANDHANBNK,213.85,3,buy,212.75,218.10,TARGET TRIGGERED,218.10,12.75,
09:15:20,SECONDARY GAP DOWN OPEN LOW LONG,21,IBULHSGFIN,120.00,2,buy,119.40,122.35,TARGET TRIGGERED,122.35,4.70,
09:15:21,SECONDARY GAP DOWN OPEN LOW LONG,22,INFRATEL,212.15,5,buy,211.05,216.35,TARGET TRIGGERED,216.35,21.00,
09:15:22,SECONDARY GAP DOWN OPEN LOW LONG,23,IBULHSGFIN,119.85,2,buy,119.25,122.20,TARGET TRIGGERED,122.20,4.70,
09:16:07,SECONDARY GAP DOWN OPEN LOW LONG,24,HCLTECH,517.40,2,buy,514.80,527.70,AUTO SQUARED OFF,526.70,18.60,1364
09:16:11,SECONDARY GAP UP OPEN HIGH SHORT,25,TECHM,513.50,3,sell,523.85,503.30,STOPLOSS TRIGGERED,523.85,-31.05,1368
09:16:11,SECONDARY GAP UP OPEN HIGH SHORT KATHIRAVAN,26,JUSTDIAL,336.85,4,sell,337.50,331.85,STOPLOSS TRIGGERED,337.50,-2.60,1369
09:16:12,SECONDARY GAP UP OPEN HIGH SHORT,27,JUSTDIAL,336.85,4,sell,343.65,330.20,STOPLOSS TRIGGERED,343.65,-27.20,1370
09:17:12,SECONDARY GAP DOWN OPEN LOW LONG,28,MUTHOOTFIN,791.30,4,buy,787.30,807.10,TARGET TRIGGERED,807.10,63.20,1375
09:18:07,SECONDARY GAP DOWN OPEN LOW LONG,29,CONCOR,351.05,4,buy,349.25,358.05,STOPLOSS TRIGGERED,349.25,-7.20,1377
09:23:47,SECONDARY GAP DOWN OPEN LOW LONG,30,RAMCOCEM,550.80,2,buy,548.00,561.80,STOPLOSS TRIGGERED,548.00,-5.60,1379
09:24:47,SECONDARY GAP DOWN OPEN LOW LONG,31,CONCOR,349.10,4,buy,347.35,356.05,STOPLOSS TRIGGERED,347.35,-7.00,1383
09:25:33,SECONDARY GAP DOWN OPEN LOW LONG,31,CONCOR,346.80,4,buy,345.05,353.70,STOPLOSS TRIGGERED,345.05,-7.00,1388
09:29:23,SECONDARY GAP DOWN OPEN LOW LONG,32,CONCOR,345.50,4,buy,343.75,352.40,STOPLOSS TRIGGERED,343.75,-7.00,1392
09:29:33,SECONDARY GAP DOWN OPEN LOW LONG,33,RAMCOCEM,548.05,2,buy,545.30,559.00,TARGET TRIGGERED,559.00,21.90,1395
09:29:48,SECONDARY GAP DOWN OPEN LOW LONG,34,CONCOR,343.45,4,buy,341.65,350.25,STOPLOSS TRIGGERED,341.65,-7.20,1399
09:30:00,BEARISH ENGULFING 5 MINUTE,35,BEL,61.75,15,sell,63.10,60.00,STOPLOSS TRIGGERED,63.10,-20.25,1403
09:30:05,BEARISH ENGULFING 5 MINUTE,36,DLF,132.30,7,sell,135.05,128.45,STOPLOSS TRIGGERED,135.05,-19.25,1405
09:31:09,RED RED PREVIOUS OPEN SELL PERCENT,37,HAVELLS,447.90,3,sell,452.50,443.55,STOPLOSS TRIGGERED,452.50,-13.80,1412
09:31:09,RED RED PREVIOUS OPEN SELL DAYS HIGH,38,MFSL,413.80,3,sell,432.10,401.50,STOPLOSS TRIGGERED,432.10,-54.90,1411
09:31:10,RED RED PREVIOUS OPEN SELL PERCENT,39,MFSL,413.80,3,sell,418.05,409.80,STOPLOSS TRIGGERED,418.05,-12.75,1413
09:32:10,GREEN GREEN PREVIOUS OPEN BUY PERCENT,40,MGL,897.45,2,buy,888.40,906.35,STOPLOSS TRIGGERED,888.40,-18.10,1415
09:33:05,GREEN GREEN PREVIOUS OPEN BUY PERCENT,41,TATASTEEL,277.85,3,buy,275.00,280.55,TARGET TRIGGERED,280.55,8.10,1416
09:34:10,GREEN GREEN PREVIOUS OPEN BUY PERCENT,42,GODREJCP,564.10,2,buy,558.40,569.65,STOPLOSS TRIGGERED,558.40,-11.40,1422
09:34:10,GREEN GREEN PREVIOUS OPEN BUY DAYS LOW,43,BPCL,297.85,5,buy,292.05,306.70,TARGET TRIGGERED,306.70,44.25,1421
09:34:11,GREEN GREEN PREVIOUS OPEN BUY PERCENT,44,BPCL,297.95,5,buy,294.85,300.80,TARGET TRIGGERED,300.80,14.25,1423
09:35:04,RED RED PREVIOUS OPEN SELL PERCENT,45,BERGEPAINT,432.35,6,sell,436.80,428.15,STOPLOSS TRIGGERED,436.80,-26.70,1424
09:37:09,RED RED PREVIOUS OPEN SELL PERCENT,46,INDIGO,902.40,2,sell,911.55,893.50,AUTO SQUARED OFF,907.90,-11.00,1430
09:37:09,RED RED PREVIOUS OPEN SELL DAYS HIGH,47,MINDTREE,885.90,2,sell,916.40,859.45,STOPLOSS TRIGGERED,916.40,-61.00,1429
09:37:10,RED RED PREVIOUS OPEN SELL PERCENT,48,MINDTREE,885.90,2,sell,894.90,877.15,STOPLOSS TRIGGERED,894.90,-18.00,1431
09:37:55,GREEN GREEN PREVIOUS OPEN BUY PERCENT,49,BPCL,300.95,5,buy,297.80,303.85,TARGET TRIGGERED,303.85,14.50,1433
09:39:10,GREEN GREEN PREVIOUS OPEN BUY PERCENT,50,DABUR,441.70,3,buy,437.20,446.05,AUTO SQUARED OFF,439.45,-6.75,1438
09:39:10,GREEN GREEN PREVIOUS OPEN BUY DAYS LOW,51,ZEEL,154.60,3,buy,149.35,159.15,STOPLOSS TRIGGERED,149.35,-15.75,1437
09:39:11,GREEN GREEN PREVIOUS OPEN BUY PERCENT,52,ZEEL,154.60,3,buy,153.00,156.05,STOPLOSS TRIGGERED,153.00,-4.80,1439
09:40:10,GREEN GREEN PREVIOUS OPEN BUY PERCENT,53,LT,816.95,1,buy,808.70,825.05,TARGET TRIGGERED,825.05,8.10,1441
09:40:35,GREEN GREEN PREVIOUS OPEN BUY PERCENT,54,SUNPHARMA,447.80,3,buy,443.25,452.20,AUTO SQUARED OFF,448.05,0.75,1442
09:41:05,GREEN GREEN PREVIOUS OPEN BUY PERCENT,55,LUPIN,854.35,2,buy,845.75,862.80,TARGET TRIGGERED,862.80,16.90,1444
09:41:05,GREEN GREEN PREVIOUS OPEN BUY DAYS LOW,56,GLENMARK,335.75,3,buy,331.45,345.70,STOPLOSS TRIGGERED,331.45,-12.90,1445
09:41:06,GREEN GREEN PREVIOUS OPEN BUY PERCENT,57,GLENMARK,335.75,3,buy,332.25,339.00,STOPLOSS TRIGGERED,332.25,-10.50,1446
09:44:05,GREEN GREEN PREVIOUS OPEN BUY PERCENT,58,CADILAHC,329.80,4,buy,326.45,333.00,TARGET TRIGGERED,333.00,12.80,1450
09:47:10,GREEN GREEN PREVIOUS OPEN BUY PERCENT,59,BIOCON,340.35,5,buy,336.85,343.70,AUTO SQUARED OFF,342.00,8.25,1460
09:49:05,GREEN GREEN PREVIOUS OPEN BUY PERCENT,60,LICHSGFIN,238.00,3,buy,235.55,240.30,TARGET TRIGGERED,240.30,6.90,1464
09:50:05,GREEN GREEN PREVIOUS OPEN BUY PERCENT,61,GRASIM,524.25,2,buy,518.95,529.40,STOPLOSS TRIGGERED,518.95,-10.60,1469
09:50:05,GREEN GREEN PREVIOUS OPEN BUY DAYS LOW,62,IBULHSGFIN,123.20,2,buy,118.55,126.80,STOPLOSS TRIGGERED,118.55,-9.30,1468
09:50:06,GREEN GREEN PREVIOUS OPEN BUY PERCENT,63,IBULHSGFIN,123.20,2,buy,121.90,124.35,STOPLOSS TRIGGERED,121.90,-2.60,1470
09:51:16,GREEN GREEN PREVIOUS OPEN BUY PERCENT,64,TATASTEEL,280.70,3,buy,277.75,283.40,AUTO SQUARED OFF,281.15,1.35,1475
09:54:19,SECONDARY GAP DOWN OPEN LOW LONG,65,MUTHOOTFIN,807.45,4,buy,803.40,823.55,STOPLOSS TRIGGERED,803.40,-16.20,1477
09:57:06,BEARISH ENGULFING 5 MINUTE,66,BANKBARODA,36.60,11,sell,37.45,35.60,AUTO SQUARED OFF,36.70,-1.10,1481
10:00:06,GREEN GREEN PREVIOUS OPEN BUY PERCENT,67,TITAN,838.40,2,buy,829.95,846.70,AUTO SQUARED OFF,838.95,1.10,1485
10:00:18,GREEN GREEN PREVIOUS OPEN BUY PERCENT,68,LUPIN,863.00,2,buy,854.30,871.55,TARGET TRIGGERED,871.55,17.10,1489
10:01:16,GREEN GREEN PREVIOUS OPEN BUY PERCENT,69,CENTURYTEX,263.10,2,buy,260.40,265.65,STOPLOSS TRIGGERED,260.40,-5.40,1494
10:01:16,GREEN GREEN PREVIOUS OPEN BUY DAYS LOW,70,CHOLAFIN,130.30,6,buy,125.00,134.15,STOPLOSS TRIGGERED,125.00,-31.80,1495
10:01:16,GREEN GREEN PREVIOUS OPEN BUY PERCENT,71,CHOLAFIN,130.35,6,buy,128.95,131.60,STOPLOSS TRIGGERED,128.95,-8.40,1496
10:02:06,GREEN GREEN PREVIOUS OPEN BUY PERCENT,72,ICICIBANK,305.25,3,buy,302.10,308.25,STOPLOSS TRIGGERED,302.10,-9.45,1497
10:03:04,SECONDARY GAP DOWN OPEN LOW LONG,73,MUTHOOTFIN,803.25,4,buy,799.20,819.30,STOPLOSS TRIGGERED,799.20,-16.20,1499
10:03:06,GREEN GREEN PREVIOUS OPEN BUY PERCENT,74,AXISBANK,360.75,3,buy,357.05,364.30,STOPLOSS TRIGGERED,357.05,-11.10,1501
10:04:08,MADISON SELL,75,ESCORTS,839.85,3,sell,846.75,671.95,STOPLOSS TRIGGERED,846.75,-20.70,1503
10:05:03,MADISON SELL,76,GODREJCP,558.25,2,sell,564.40,446.65,STOPLOSS TRIGGERED,564.40,-12.30,1506
10:05:05,BULLISH ENGULFING,77,BHEL,26.50,19,buy,25.95,27.00,STOPLOSS TRIGGERED,25.95,-10.45,1509
10:05:11,BEARISH ENGULFING 5 MINUTE,78,ICICIPRULI,364.45,4,sell,371.85,353.65,AUTO SQUARED OFF,363.60,3.40,1511
10:05:26,GREEN GREEN PREVIOUS OPEN BUY PERCENT,79,MUTHOOTFIN,799.35,4,buy,791.25,807.20,STOPLOSS TRIGGERED,791.25,-32.40,1515
10:05:53,MADISON SELL,80,GRASIM,518.45,2,sell,524.50,414.80,STOPLOSS TRIGGERED,524.50,-12.10,1523
10:06:08,MADISON SELL,81,CESC,584.20,2,sell,590.00,467.40,AUTO SQUARED OFF,579.10,10.20,1529
10:06:12,MADISON SELL,82,AMARAJABAT,564.45,2,sell,571.60,451.60,AUTO SQUARED OFF,566.25,-3.60,1531
10:06:13,MADISON SELL,83,TATACHEM,282.80,2,sell,286.40,226.30,STOPLOSS TRIGGERED,286.40,-7.20,1532
10:06:15,RED RED PREVIOUS OPEN SELL PERCENT,84,MINDTREE,890.40,2,sell,899.45,881.60,STOPLOSS TRIGGERED,899.45,-18.10,1533
10:06:15,RED RED PREVIOUS OPEN SELL DAYS HIGH,85,ADANIPORTS,313.40,6,sell,318.85,304.10,STOPLOSS TRIGGERED,318.85,-32.70,1534
10:06:16,RED RED PREVIOUS OPEN SELL PERCENT,86,ADANIPORTS,313.50,6,sell,316.75,310.50,STOPLOSS TRIGGERED,316.75,-19.50,1535
10:07:08,MADISON SELL,87,PEL,897.25,1,sell,906.45,717.85,AUTO SQUARED OFF,901.15,-3.90,1539
10:09:08,MADISON SELL,88,IGL,453.80,7,sell,460.75,363.10,AUTO SQUARED OFF,457.45,-25.55,1542
10:09:09,MADISON SELL,89,SUNTV,381.70,3,sell,386.25,305.40,AUTO SQUARED OFF,377.90,11.40,1544
10:09:10,RED RED PREVIOUS OPEN SELL PERCENT,90,INDUSINDBK,356.90,1,sell,360.60,353.45,TARGET TRIGGERED,353.45,3.45,1545
10:12:06,BEARISH ENGULFING 5 MINUTE,91,NTPC,91.70,12,sell,93.65,89.05,AUTO SQUARED OFF,92.55,-10.20,1555
10:12:08,MADISON SELL,92,JSWSTEEL,171.65,5,sell,173.00,137.40,AUTO SQUARED OFF,171.45,1.00,1557
10:18:11,RED RED PREVIOUS OPEN SELL PERCENT,93,SRTRANSFIN,577.65,2,sell,583.55,572.00,TARGET TRIGGERED,572.00,11.30,1565
10:19:06,BEARISH ENGULFING 5 MINUTE,94,ADANIENT,140.25,10,sell,143.20,136.15,AUTO SQUARED OFF,141.35,-11.00,1566
10:19:07,BEARISH ENGULFING 5 MINUTE,95,JINDALSTEL,92.90,8,sell,94.85,90.20,AUTO SQUARED OFF,94.50,-12.80,1568
10:19:08,BEARISH ENGULFING 5 MINUTE,96,NATIONALUM,27.90,25,sell,28.60,27.20,AUTO SQUARED OFF,28.05,-3.75,1570
10:20:06,BEARISH ENGULFING 5 MINUTE,97,CONCOR,347.90,4,sell,355.00,337.60,AUTO SQUARED OFF,345.60,9.20,1572
10:20:08,MADISON SELL,98,CIPLA,608.45,3,sell,613.80,486.80,STOPLOSS TRIGGERED,613.80,-16.05,1575
10:21:15,RED RED PREVIOUS OPEN SELL PERCENT,99,BERGEPAINT,432.00,6,sell,436.45,427.80,STOPLOSS TRIGGERED,436.45,-26.70,1577
10:22:08,MADISON SELL,100,UJJIVAN,155.15,4,sell,157.80,124.20,AUTO SQUARED OFF,156.60,-5.80,1581
10:22:10,RED RED PREVIOUS OPEN SELL PERCENT,101,TVSMOTOR,301.25,3,sell,304.40,298.35,STOPLOSS TRIGGERED,304.40,-9.45,1583
10:22:14,SECONDARY GAP DOWN OPEN LOW LONG,102,MUTHOOTFIN,791.50,4,buy,787.50,807.30,AUTO SQUARED OFF,804.50,52.00,1585
10:23:08,MADISON SELL,103,CUMMINSIND,328.10,2,sell,334.65,262.55,AUTO SQUARED OFF,332.25,-8.30,1588
10:24:06,BEARISH ENGULFING 5 MINUTE,104,HINDUNILVR,1993.10,1,sell,2033.10,1933.45,AUTO SQUARED OFF,1992.30,0.80,1590
10:25:55,RED RED PREVIOUS OPEN SELL PERCENT,105,INDUSINDBK,353.40,1,sell,357.05,350.00,STOPLOSS TRIGGERED,357.05,-3.65,1591
10:26:08,MADISON SELL,106,AUROPHARMA,671.10,3,sell,677.80,536.95,STOPLOSS TRIGGERED,677.80,-20.10,1593
10:31:03,MADISON SELL,107,AMBUJACEM,175.60,6,sell,177.25,140.55,STOPLOSS TRIGGERED,177.25,-9.90,1594
10:31:06,RED RED PREVIOUS OPEN SELL PERCENT,108,BHARTIARTL,593.90,5,sell,599.95,588.10,AUTO SQUARED OFF,594.30,-2.00,1595
